,Date,Name,Nationality,Cause of death,mountain,Year,Month,Range
496,1994-06-11 00:00:00,Bohuslav Bilek,Czech Republic,others,Broad Peak,1994,6,Karakorum
497,1994-06-22 00:00:00,Alexej Himer,Czech Republic,fall,Broad Peak,1994,6,Karakorum
498,1994-06-24 00:00:00,Antonio Lopez,Spain,fall,Nanga Parbat,1994,6,Karakorum
499,1994-07-10 00:00:00,Aleksandr Parkhomenko,Ukraine,others,K-2,1994,7,Karakorum
500,1994-07-10 00:00:00,Dmitri Ibragim-Zade,Ukraine,others,K-2,1994,7,Karakorum
501,1994-07-10 00:00:00,Aleksei Kharaldin,Ukraine,others,K-2,1994,7,Karakorum
502,1994-07-24 00:00:00,Steve Untch,USA,fall,K-2,1994,7,Karakorum
503,1994-08-11 00:00:00,"Juan Antonio ""Atxo"" Apellániz",Spain,others,K-2,1994,8,Karakorum
504,1994-09-12 00:00:00,Mingma Norbu,Nepal,avalanche,Everest,1994,9,Himalaya
505,1994-09-18 00:00:00,Tod Gassen,United States,fall,Shisha Pangma,1994,9,Himalaya
506,1994-09-26 00:00:00,Robert Bähler,Switzerland,fall,Dhaulagiri,1994,9,Himalaya
507,1994-10-01 00:00:00,Zdenek Slachta,Czech Republic,avalanche,Shisha Pangma,1994,10,Himalaya
508,1994-10-10 00:00:00,Ekaterina Ivanova,Russia,avalanche,Kangchenjunga,1994,10,Himalaya
509,1994-10-18 00:00:00,Galina Chekanova,Ukraine,fall,Dhaulagiri,1994,10,Himalaya
510,1994-10-23 00:00:00,Yordanka Dimitrova,Bulgaria,unknown,Kangchenjunga,1994,10,Himalaya
511,1995-05-06 00:00:00,Jörg Starke,Germany,fall,Manaslu,1995,5,Himalaya
512,1995-05-06 00:00:00,Kami Rita,Nepal,fall,Everest,1995,5,Himalaya
513,1995-05-07 00:00:00,Michael Zunk,Germany,fall,Manaslu,1995,5,Himalaya
514,1995-05-08 00:00:00,David Hume,Australia,fall,Makalu,1995,5,Himalaya
515,1995-05-15 00:00:00,Albrecht Hammann,Germany,exposure,Dhaulagiri,1995,5,Himalaya
516,1995-07-06 00:00:00,Jordi Anglès,Spain,fall,K-2,1995,7,Karakorum
517,1995-08-13 00:00:00,Javier Olivar,Spain,others,K-2,1995,8,Karakorum
518,1995-08-13 00:00:00,Bruce Grant,New Zealand,others,K-2,1995,8,Karakorum
519,1995-08-13 00:00:00,Rob Slater,USA,others,K-2,1995,8,Karakorum
520,1995-08-13 00:00:00,Javier Escartin,Spain,others,K-2,1995,8,Karakorum
521,1995-08-13 00:00:00,Lorenzo Ortiz,Spain,others,K-2,1995,8,Karakorum
522,1995-08-13 00:00:00,Alison Hargreaves,United Kingdom,others,K-2,1995,8,Karakorum
523,1995-08-15 00:00:00,Jeff Lakes,Canada,exhaustion,K-2,1995,8,Karakorum
524,1995-09-10 00:00:00,Lhakpa Nuru,Nepal,unknown,Everest,1995,9,Himalaya
525,1995-10-05 00:00:00,Pierre Royer,France,disappeared,Kangchenjunga,1995,10,Himalaya
526,1995-10-05 00:00:00,Sherpa Riku,Nepal,fall,Kangchenjunga,1995,10,Himalaya
527,1995-10-06 00:00:00,Benoît Chamoux,France,disappeared,Kangchenjunga,1995,10,Himalaya
528,1995-10-14 00:00:00,Zangbu,Nepal,fall,Everest,1995,10,Himalaya
529,1996-04-20 00:00:00,Friedrich Zintl,Germany,illness,Cho Oyu,1996,4,Himalaya
530,1996-05-01 00:00:00,Stefan Sluka,Slovakia,disappeared,Shisha Pangma,1996,5,Himalaya
531,1996-05-09 00:00:00,Chen Yu-Nan,Taiwan,fall,Everest,1996,5,Himalaya
532,1996-05-11 00:00:00,Tsewang Samanla,India,exposure,Everest,1996,5,Himalaya
533,1996-05-11 00:00:00,Dorje Morup,India,exposure,Everest,1996,5,Himalaya
534,1996-05-11 00:00:00,Scott Fischer,United States,altitude,Everest,1996,5,Himalaya
